Date,Price
12-Mar-20,"4,826.00"
13-Mar-20,"5,584.30"
14-Mar-20,"5,182.70"
15-Mar-20,"5,366.30"
16-Mar-20,"5,030.00"
17-Mar-20,"5,261.10"
18-Mar-20,"5,361.40"
19-Mar-20,"6,172.00"
20-Mar-20,"6,205.30"
21-Mar-20,"6,186.20"
22-Mar-20,"5,822.10"
23-Mar-20,"6,468.90"
24-Mar-20,"6,744.60"
25-Mar-20,"6,678.90"
26-Mar-20,"6,725.10"
27-Mar-20,"6,373.40"
28-Mar-20,"6,233.70"
29-Mar-20,"5,890.40"
30-Mar-20,"6,391.00"
31-Mar-20,"6,412.50"
01-Apr-20,"6,638.50"
02-Apr-20,"6,800.50"
03-Apr-20,"6,735.90"
04-Apr-20,"6,857.40"
05-Apr-20,"6,772.70"
06-Apr-20,"7,332.30"
07-Apr-20,"7,185.20"
08-Apr-20,"7,361.20"
09-Apr-20,"7,289.00"
10-Apr-20,"6,863.10"
11-Apr-20,"6,867.80"
12-Apr-20,"6,917.60"
13-Apr-20,"6,841.30"
14-Apr-20,"6,850.90"
15-Apr-20,"6,629.10"
16-Apr-20,"7,085.60"
17-Apr-20,"7,035.80"
18-Apr-20,"7,230.80"
19-Apr-20,"7,122.90"
20-Apr-20,"6,833.50"
21-Apr-20,"6,842.50"
22-Apr-20,"7,112.90"
23-Apr-20,"7,488.50"
24-Apr-20,"7,503.80"
25-Apr-20,"7,540.40"
26-Apr-20,"7,678.90"
27-Apr-20,"7,766.00"
28-Apr-20,"7,746.90"
29-Apr-20,"8,770.90"
30-Apr-20,"8,629.00"
01-May-20,"8,821.60"
02-May-20,"8,966.30"
03-May-20,"8,885.50"
04-May-20,"8,874.70"
05-May-20,"9,001.00"
06-May-20,"9,151.40"
07-May-20,"9,979.80"
08-May-20,"9,806.20"
09-May-20,"9,554.60"
10-May-20,"8,738.80"
11-May-20,"8,579.80"
12-May-20,"8,813.80"
13-May-20,"9,298.70"
14-May-20,"9,778.40"
15-May-20,"9,318.00"
16-May-20,"9,379.50"
17-May-20,"9,677.70"
18-May-20,"9,730.70"
19-May-20,"9,773.30"
20-May-20,"9,512.30"
21-May-20,"9,059.00"
22-May-20,"9,169.70"
23-May-20,"9,177.00"
24-May-20,"8,728.20"
25-May-20,"8,898.20"
26-May-20,"8,842.50"
27-May-20,"9,199.10"
28-May-20,"9,572.20"
29-May-20,"9,424.80"
30-May-20,"9,692.50"
31-May-20,"9,454.80"
01-Jun-20,"10,189.30"
02-Jun-20,"9,527.60"
03-Jun-20,"9,667.20"
04-Jun-20,"9,794.40"
05-Jun-20,"9,631.20"
06-Jun-20,"9,669.60"
07-Jun-20,"9,742.60"
08-Jun-20,"9,777.90"
09-Jun-20,"9,768.80"
10-Jun-20,"9,878.80"
11-Jun-20,"9,283.20"
12-Jun-20,"9,466.60"
13-Jun-20,"9,471.30"
14-Jun-20,"9,345.30"
15-Jun-20,"9,425.40"
16-Jun-20,"9,523.50"
17-Jun-20,"9,464.60"
18-Jun-20,"9,388.10"
19-Jun-20,"9,314.00"
20-Jun-20,"9,358.80"
21-Jun-20,"9,296.40"
22-Jun-20,"9,683.70"
23-Jun-20,"9,624.60"
24-Jun-20,"9,302.00"
25-Jun-20,"9,247.50"
26-Jun-20,"9,160.00"
27-Jun-20,"9,008.30"
28-Jun-20,"9,124.00"
29-Jun-20,"9,185.40"
30-Jun-20,"9,135.40"
01-Jul-20,"9,229.90"
02-Jul-20,"9,085.10"
03-Jul-20,"9,067.10"
04-Jul-20,"9,134.40"
05-Jul-20,"9,081.00"
06-Jul-20,"9,339.00"
07-Jul-20,"9,256.00"
08-Jul-20,"9,429.90"
09-Jul-20,"9,235.70"
10-Jul-20,"9,285.10"
11-Jul-20,"9,233.30"
12-Jul-20,"9,300.80"
13-Jul-20,"9,243.60"
14-Jul-20,"9,253.40"
15-Jul-20,"9,198.70"
16-Jul-20,"9,135.30"
17-Jul-20,"9,155.80"
18-Jul-20,"9,170.20"
19-Jul-20,"9,208.00"
20-Jul-20,"9,162.40"
21-Jul-20,"9,387.30"
22-Jul-20,"9,513.70"
23-Jul-20,"9,599.60"
24-Jul-20,"9,546.40"
25-Jul-20,"9,704.10"
26-Jul-20,"9,932.50"
27-Jul-20,"11,022.80"
28-Jul-20,"10,908.50"
29-Jul-20,"11,105.90"
30-Jul-20,"11,096.20"
31-Jul-20,"11,333.40"
01-Aug-20,"11,803.10"
02-Aug-20,"11,066.80"
03-Aug-20,"11,224.40"
04-Aug-20,"11,184.70"
05-Aug-20,"11,735.10"
06-Aug-20,"11,757.10"
07-Aug-20,"11,592.00"
08-Aug-20,"11,764.30"
09-Aug-20,"11,681.20"
10-Aug-20,"11,889.20"
11-Aug-20,"11,390.40"
12-Aug-20,"11,557.20"
13-Aug-20,"11,770.90"
14-Aug-20,"11,750.80"
15-Aug-20,"11,845.30"
16-Aug-20,"11,899.00"
17-Aug-20,"12,282.60"
18-Aug-20,"11,947.60"
19-Aug-20,"11,750.20"
20-Aug-20,"11,856.90"
21-Aug-20,"11,529.20"
22-Aug-20,"11,661.30"
23-Aug-20,"11,641.60"
24-Aug-20,"11,753.50"
25-Aug-20,"11,324.80"
26-Aug-20,"11,462.30"
27-Aug-20,"11,327.40"
28-Aug-20,"11,527.40"
29-Aug-20,"11,468.10"
30-Aug-20,"11,702.00"
31-Aug-20,"11,644.20"
01-Sep-20,"11,914.90"
02-Sep-20,"11,413.30"
03-Sep-20,"10,168.80"
04-Sep-20,"10,472.50"
05-Sep-20,"10,092.20"
06-Sep-20,"10,296.40"
07-Sep-20,"10,376.90"
08-Sep-20,"10,126.60"
09-Sep-20,"10,224.60"
10-Sep-20,"10,339.70"
11-Sep-20,"10,390.20"
12-Sep-20,"10,441.90"
13-Sep-20,"10,326.00"
14-Sep-20,"10,675.30"
15-Sep-20,"10,785.30"
16-Sep-20,"10,949.50"
17-Sep-20,"10,941.30"
18-Sep-20,"10,933.00"
19-Sep-20,"11,081.80"
20-Sep-20,"10,921.50"
21-Sep-20,"10,416.80"
22-Sep-20,"10,531.50"
23-Sep-20,"10,237.30"
24-Sep-20,"10,739.40"
25-Sep-20,"10,688.80"
26-Sep-20,"10,727.90"
27-Sep-20,"10,776.20"
28-Sep-20,"10,693.20"
29-Sep-20,"10,840.90"
30-Sep-20,"10,776.10"
01-Oct-20,"10,620.50"
02-Oct-20,"10,572.30"
03-Oct-20,"10,544.20"
04-Oct-20,"10,672.90"
05-Oct-20,"10,789.50"
06-Oct-20,"10,602.60"
07-Oct-20,"10,670.90"
08-Oct-20,"10,924.10"
09-Oct-20,"11,054.20"
10-Oct-20,"11,298.40"
11-Oct-20,"11,371.00"
12-Oct-20,"11,533.90"
13-Oct-20,"11,423.80"
14-Oct-20,"11,420.40"
15-Oct-20,"11,503.00"
16-Oct-20,"11,322.00"
17-Oct-20,"11,362.10"
18-Oct-20,"11,506.90"
19-Oct-20,"11,753.40"
20-Oct-20,"11,913.50"
21-Oct-20,"12,808.70"
22-Oct-20,"12,974.60"
23-Oct-20,"12,934.10"
24-Oct-20,"13,117.20"
25-Oct-20,"13,032.20"
26-Oct-20,"13,061.60"
27-Oct-20,"13,657.80"
28-Oct-20,"13,278.90"
29-Oct-20,"13,457.20"
30-Oct-20,"13,559.90"
31-Oct-20,"13,797.30"
01-Nov-20,"13,759.40"
02-Nov-20,"13,561.40"
03-Nov-20,"14,019.90"
04-Nov-20,"14,145.60"
05-Nov-20,"15,587.10"
06-Nov-20,"15,577.90"
07-Nov-20,"14,828.40"
08-Nov-20,"15,483.70"
09-Nov-20,"15,327.20"
10-Nov-20,"15,303.60"
11-Nov-20,"15,695.80"
12-Nov-20,"16,294.70"
13-Nov-20,"16,324.20"
14-Nov-20,"16,071.00"
15-Nov-20,"15,953.00"
16-Nov-20,"16,715.80"
17-Nov-20,"17,662.30"
18-Nov-20,"17,774.60"
19-Nov-20,"17,803.50"
20-Nov-20,"18,675.20"
21-Nov-20,"18,687.20"
22-Nov-20,"18,412.90"
23-Nov-20,"18,379.60"
24-Nov-20,"19,152.60"
25-Nov-20,"18,723.00"
26-Nov-20,"17,162.00"
27-Nov-20,"17,127.10"
28-Nov-20,"17,730.70"
29-Nov-20,"18,185.50"
30-Nov-20,"19,698.10"
01-Dec-20,"18,770.70"
02-Dec-20,"19,218.80"
03-Dec-20,"19,433.30"
04-Dec-20,"18,658.10"
05-Dec-20,"19,146.50"
06-Dec-20,"19,379.90"
07-Dec-20,"19,170.70"
08-Dec-20,"18,326.60"
09-Dec-20,"18,546.00"
10-Dec-20,"18,247.20"
11-Dec-20,"18,023.60"
12-Dec-20,"18,808.90"
13-Dec-20,"19,176.80"
14-Dec-20,"19,273.80"
15-Dec-20,"19,434.90"
16-Dec-20,"21,352.20"
17-Dec-20,"22,825.40"
18-Dec-20,"23,127.90"
19-Dec-20,"23,844.00"
20-Dec-20,"23,474.90"
21-Dec-20,"22,728.50"
22-Dec-20,"23,823.20"
23-Dec-20,"23,257.90"
24-Dec-20,"23,736.50"
25-Dec-20,"24,689.60"
26-Dec-20,"26,454.40"
27-Dec-20,"26,261.30"
28-Dec-20,"27,057.80"
29-Dec-20,"27,376.00"
30-Dec-20,"28,868.70"
31-Dec-20,"28,949.40"
01-Jan-21,"29,359.90"
02-Jan-21,"32,193.30"
03-Jan-21,"32,958.90"
04-Jan-21,"32,022.60"
05-Jan-21,"33,991.50"
06-Jan-21,"36,793.20"
07-Jan-21,"39,460.20"
08-Jan-21,"40,599.30"
09-Jan-21,"40,151.90"
10-Jan-21,"38,192.20"
11-Jan-21,"35,544.30"
12-Jan-21,"34,076.10"
13-Jan-21,"37,382.20"
14-Jan-21,"39,175.70"
15-Jan-21,"36,845.80"
16-Jan-21,"36,019.50"
17-Jan-21,"35,839.60"
18-Jan-21,"36,613.20"
19-Jan-21,"36,002.90"
20-Jan-21,"35,476.30"
21-Jan-21,"30,842.10"
22-Jan-21,"33,000.50"
23-Jan-21,"32,088.90"
24-Jan-21,"32,241.30"
25-Jan-21,"32,252.30"
26-Jan-21,"32,502.10"
27-Jan-21,"30,404.00"
28-Jan-21,"33,374.80"
29-Jan-21,"34,301.80"
30-Jan-21,"34,283.10"
31-Jan-21,"33,108.10"
01-Feb-21,"33,515.70"
02-Feb-21,"35,485.20"
03-Feb-21,"37,646.80"
04-Feb-21,"36,982.10"
05-Feb-21,"38,297.60"
06-Feb-21,"39,256.60"
07-Feb-21,"38,852.90"
08-Feb-21,"46,395.70"
09-Feb-21,"46,508.60"
10-Feb-21,"44,836.00"
11-Feb-21,"47,990.70"
12-Feb-21,"47,371.70"
13-Feb-21,"47,168.70"
14-Feb-21,"48,643.40"
15-Feb-21,"47,936.30"
16-Feb-21,"49,169.70"
17-Feb-21,"52,079.20"
18-Feb-21,"51,582.20"
19-Feb-21,"55,906.60"
20-Feb-21,"55,923.70"
21-Feb-21,"57,433.80"
22-Feb-21,"54,111.80"
23-Feb-21,"48,911.20"
24-Feb-21,"49,697.50"
25-Feb-21,"46,928.50"
26-Feb-21,"46,345.60"
27-Feb-21,"46,136.70"
28-Feb-21,"45,164.00"
01-Mar-21,"49,595.50"
02-Mar-21,"48,424.20"
03-Mar-21,"50,395.10"
04-Mar-21,"48,428.00"
05-Mar-21,"48,792.50"
06-Mar-21,"48,855.60"
07-Mar-21,"50,982.30"
08-Mar-21,"52,311.00"
09-Mar-21,"54,879.00"
10-Mar-21,"55,851.90"
11-Mar-21,"57,799.50"
12-Mar-21,"57,265.10"
13-Mar-21,"61,195.30"
14-Mar-21,"59,113.70"
15-Mar-21,"55,791.30"
16-Mar-21,"56,889.70"
17-Mar-21,"58,913.50"
18-Mar-21,"57,656.00"
19-Mar-21,"58,088.00"
20-Mar-21,"58,093.40"
21-Mar-21,"57,383.80"
22-Mar-21,"54,158.30"
23-Mar-21,"54,452.50"
24-Mar-21,"52,325.40"
25-Mar-21,"51,322.30"
26-Mar-21,"55,036.10"
27-Mar-21,"55,862.90"
28-Mar-21,"55,765.20"
29-Mar-21,"57,616.20"
30-Mar-21,"58,771.30"
31-Mar-21,"58,763.70"
01-Apr-21,"58,718.30"
02-Apr-21,"58,977.30"
03-Apr-21,"57,059.90"
04-Apr-21,"58,199.90"
05-Apr-21,"58,993.40"
